"8","EEG 24 CHANNELS + BRAIN MAPPING","24 CHANNELS","ATES",,,,"ITALY","1"," ","0","1"
"9","EEG 8 CHANNELS","8 CHANNELS","ATES",,,,"ITALY","0"," ","0","1"
"10","ECG 32 CHANNELS + BRAIN MAPPING","NEUTRAVEL LIGHT","ATES",,,,"ITALY","0",,"0","1"
"11","MAGNETIC STIMULATOR STANDARD, 100 HZ","STM - 9000","ATES",,,,"ITALY","0",,"0","1"
"12","INTERFERENCE FILTER 405NM","117","BIOLABO",,,,,"3","Spare Part - Biolabo","0","1"
"13","INTERFERENCE FILTER 505NM","119","BIOLABO",,,,,"0","Spare Part - Biolabo","0","1"
"14","INTERFERENCE FILTER 546NM","120","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"15","60°C THERMOSTAT (FOR CUVETTE TRAY)","179","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"16","INTERFERENCE FILTER 450NM","900","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"17","90° OPTOCOUPLE","922","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"18","FILTER WHEELâ€™S BEARING","966","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"19","CUVETTE RACK FOR 2.320 TEST","054-320OD","BIOLABO",,,,,"2","Spare Part - Biolabo","21307000","1"
"20","FILTER WHEEL MOTOR ASSEMBLY","13-0004","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"21","CUVETTES TRAY OPTICAL SENSOR","13-0027","BIOLABO",,,,,"4","Spare Part - Biolabo","0","1"
"22","TRAY WITH 50 CUVETTE","13-0055","BIOLABO",,,,,"2","Spare Part - Biolabo","3938000","1"
"23","FILTER LOCKING RING","M000409","BIOLABO",,,,,"15","Spare Part - Biolabo","0","1"
"24","MAINTENANCE KIT 1 (6 MONTHS) KENZA 240 :
13-0055 - TRAY WITH CUVETTES
MA000140 - PROBE CLEANER
19-00","MKIT 1-240","BIOLABO",,,,,"5","Spare Part - Biolabo","0","1"
"25","INTERFERENCE FILTER 380NM","OEM000725","BIOLABO",,,,,"2","Spare Part - Biolabo","0","1"
"26","HEMOSTASIS (2 COAGULOMETER WITH 2 MEANSURING CHANNELS)","BIOSOLEA 2","BIOLABO",,,,"FRANCE","10","ALAT Laboratorium","112500000","1"
"27","4 CHANNEL COAGULOMETER","BIOSOLEA 4","BIOLABO",,,,"FRANCE","3","ALAT Laboratorium","215118000","1"
"28","FULLY AUTOMATIC CHEMISTRY BLOOD ANALYZER, CAP.240 TEST/HOUR","KENZA - 240TX","BIOLABO",,,,"FRANCE","10","ALAT Laboratorium","750000000","1"
"29","BIOCHEMISTRY BLOOD ANALYZER","KENZA - MAX","BIOLABO",,,,"FRANCE","38","ALAT Laboratorium","105000000","1"
"30","BIO-CK APTT KAOLIN 6 X 3 ML","13560","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","0","1"
"31","BIO-TP LL (LOW ISI) PROTHROMBIN TIME (PT) 10 X 2 ML + BUFFER 25 ML","13702","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","0","1"
"32","BIO-TP LL (LOW ISI) PROTHROMBIN TIME (PT) 6 X 4 ML + BUFFER 25 ML","13704","BIOLABO",,,,"FRANCE","40","Reagen Laboratorium","1579000","1"
"33","CONTROL PLASMA LEVEL 1 (NORMAL VALUES ) 6 X 1 ML","13961","BIOLABO",,,,"FRANCE","20","Reagen Laboratorium","1247000","1"
"34","HBA1C CONTROL LEVEL NORMAL 1X0.5","22013","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"35","MICROALBUMIN TURBIDIMETRIC IMMUNOASSAY","23010","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"36","MICROALBUMIN STANDART","23013","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"37","MICROALBUMIN CONTROL","23014","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"38","ACID PHOSPHATASE T&P 60 TESTS","3300060","BIOLABO",,,,"FRANCE","1","Reagen Laboratorium","0","1"
"39","URIC ACID URICASE METHOD 2 X 100 ML","80001","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","604000","1"
"40","ALBUMIN 2 X 200 ML","80002","BIOLABO",,,,"FRANCE","20","Reagen Laboratorium","456000","1"
"41","PHOSPHOROUS (INORG.) U.V. 2 X 125 ML","80015","BIOLABO",,,,"FRANCE","1","Reagen Laboratorium","531000","1"
"42","TRIGLYCERIDES GPO METHOD 2 X 50 ML","80019","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","585000","1"
"43","CHOLESTEROL CHOD-PAP METHOD 2 X 100 ML","80106","BIOLABO",,,,"FRANCE","300","Reagen Laboratorium","604000","1"
"44","CREATININE KINETIC METHOD 2 X 125 ML","80107","BIOLABO",,,,"FRANCE","150","Reagen Laboratorium","480000","1"
"45","AST/GOT (IFCC) SINGLE VIAL 8 X 30 ML","80125","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","974000","1"
"46","ALT/GPT (IFCC) SINGLE VIAL 8 X 30 ML","80127","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","974000","1"
"47","URIC ACID URICASE METHOD 6 X 30 ML","80351","BIOLABO",,,,"FRANCE","200","Reagen Laboratorium","727000","1"
"48","GAMMA GT 10X 10 ML","81210","BIOLABO",,,,"FRANCE","30","Reagen Laboratorium","980000","1"
"49","TRIGLYCERIDES GPO 10 X 100 ML","87319","BIOLABO",,,,"FRANCE","1","Reagen Laboratorium","4811000","1"
"50","HDL-CHOLESTEROL DIRECT METHOD 200 - 250 TESTS","90206","BIOLABO",,,,"FRANCE","80","Reagen Laboratorium","2961000","1"
"51","LDL-CHOLESTEROL DIRECT METHOD 100 - 125 TESTS","90416","BIOLABO",,,,"FRANCE","80","Reagen Laboratorium","3577000","1"
"52","CK-NAC IFCC SINGLE VIAL 20 X 3 ML","92207","BIOLABO",,,,"FRANCE","10","Reagen Laboratorium","1047000","1"
"53","ALKALINE PHOSPHATASE (DEA) 8 X 30ML","92214","BIOLABO",,,,"FRANCE","20","Reagen Laboratorium","1005000","1"
"54","T.I.B.C 30 TESTS","92308","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","585000","1"
"55","BIOLABO EXATROL-N LEVEL 1 10 X 5 ML","95010","BIOLABO",,,,"FRANCE","140","Reagen Laboratorium","2238000","1"
"56","BIOLABO EXATROL-P LEVEL 2 10 X  5 ML","95011","BIOLABO",,,,"FRANCE","5","Reagen Laboratorium","2300000","1"
"57","MULTICALIBRATOR 10 X 5 ML","95015","BIOLABO",,,,"FRANCE","70","Reagen Laboratorium","2714000","1"
"58","HDL/LDL/CKMB CONTROL LEV. 2","95526","BIOLABO",,,,"FRANCE","1","Reagen Laboratorium","1382000","1"
"59","CK-MB 10 X 3 ML","97217","BIOLABO",,,,"FRANCE","20","Reagen Laboratorium","1208000","1"
"60","UREA U.V. HIGH LINEARITY KINETIC METHOD 8 X 30 ML","99032","BIOLABO",,,,"FRANCE","120","Reagen Laboratorium","1017000","1"
"61","BIOLABO CRP CONTROL HIGH","CRP /CONT_ (EXP. SEP 18)","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"62","BIOLABO CRP CONTROL LOW","CRP /CONT_L5 (EXP. MAY 19)","BIOLABO",,,,"FRANCE","1","Reagen Laboratorium","0","1"
"63","BIOLABO CRP STANDART","CRP/CAL_SE","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"64","CRP TURBIDIMETRIC IMMUNOASSAY","CRP050E","BIOLABO",,,,"FRANCE","2","Reagen Laboratorium","0","1"
"65","GLUCOSE GOD-PAP LIQUID READY TO USE 2 X 200 ML","LP80209","BIOLABO",,,,"FRANCE","250","Reagen Laboratorium","462000","1"
"66","TOTAL PROTEIN  BIURET METHOD READY TO USE 1 X 200 ML","LP87016","BIOLABO",,,,"FRANCE","50","Reagen Laboratorium","308000","1"
"67","CBM DRY STERILIZER","2429","CBM",,,,"ITALY","6",,"0","1"
"68","CBM DRY STERILIZER","2429V","CBM",,,,"ITALY","4",,"0","1"
"69","URINE ANALYZER 300 TEST/HOUR","ANYSCAN - 300","CHUNGDO",,,,"KOREA","4",,"0","1"
"70","URINE ANALYZER 720 TEST/HOUR","ANYSCAN - 720","CHUNGDO",,,,"KOREA","10",,"0","1"
"71","URINE TEST STRIP","SELF-STIK 10L","CHUNGDO",,,,"KOREA","500",,"0","1"
"72","EXAMINATION LIGHT","BH - 132","FAMED Lodz",,,,"POLAND","20",,"28824000","1"
"73","HALOGEN SHADOWLESS COMBINATION CEILING OPERATING LAMP 5/3","BHC - 502/302","FAMED Lodz",,,,"POLAND","4",,"564471000","1"
"74","LED COMBINATION CELLING OPERATING LAMP","BHC - 502/502","FAMED Lodz",,,,"POLAND","1",,"917648000","1"
"75","HALOGEN SHADOWLESS COMBINATION CEILING OPERATING LAMP 7/3","BHC - 702/302","FAMED Lodz",,,,"POLAND","1",,"635059000","1"
"76","SURGICAL LAMP DOUBLE CEILING MOUNTED OPERATING LIGHT","IGNIS 160/160C","FAMED Lodz",,,,"POLAND","7",,"0","1"
"77","SURGICAL LAMP, MOBILE 3 PROJECTOR OPERATING LIGHT","SOLIS 160F","FAMED Lodz",,,,"POLAND","9",,"0","1"
"78","SURGICAL LAMP, DIAGNOSTIC LAMP,","SOLIS 30F","FAMED Lodz",,,,"POLAND","40",,"0","1"
"79","HYDRAULIC GYNAECOLOGICAL","FG - 06","FAMED ZYWIEC",,,,"POLAND","1",,"0","1"
"80","HYDRAULIC OPERATING TABLE","SU - 02","FAMED ZYWIEC",,,,"POLAND","5",,"622000000","1"
"81","ELECTRIC OPERATING TABLE 5 SECTION","SU - 03","FAMED ZYWIEC",,,,"POLAND","3",,"1255000000","1"
"82","EMERGENCY PATIENT TRANSPORTATION","WP - 02","FAMED ZYWIEC",,,,"POLAND","1",,"139500000","1"
"83","FINECARE CRP (C-REACTIVE PROTEIN) RAPID QUANTITATIVE TEST","W 201","GUANGZHOU WONDFO",,,,"CHINA","250",,"0","1"
"84","FINECARE CARDIAC TROPONIN (CTN) I QUANTITATIVE TEST","W 203","GUANGZHOU WONDFO",,,,"CHINA","35",,"2987500","1"
"85","FINECARE CK-MB RAPID QUANTITATIVE TEST","W 205","GUANGZHOU WONDFO",,,,"CHINA","30",,"1","1"
"86","FINECARE HEMOGLOBIN A1C QUANTITATIVE TEST","W 207","GUANGZHOU WONDFO",,,,"CHINA","150",,"2237500","1"
"87","FINECARE ALPHA-FETOPROTEIN (AFP) QUANTITATIVE TEST","W 208","GUANGZHOU WONDFO",,,,"CHINA","10",,"0","1"
"88","FINECARE PROSTATE SPECIFIC ANTIGEN (PSA) QUANTITATIVE TEST","W 209","GUANGZHOU WONDFO",,,,"CHINA","10",,"2487500","1"
"89","FINECARE DIAGNOSTIC KIT FOR QUANTITATIVE DETERMINATION OF PROCALCITANIN (IMMUNOCHROMATOGRAPHIC)","W 210","GUANGZHOU WONDFO",,,,"CHINA","20",,"0","1"
"90","FINECARE DIAGNOSTIC KIT FOR QUANTITATIVE DETERMINATION D-DIMER","W 211","GUANGZHOU WONDFO",,,,"CHINA","15",,"2237500","1"
"91","APPENDEXTOMY INSTRUMENT SET","APPENDEXTOMY VARIOUS","HEBU",,,,"GERMANY","4",,"85975000","1"
"92","PIN TYPE SOCKET WRENCH WITHT-HANDLE, 11MM","E 8888-01","HEBU",,,,"GERMANY","1",,"896400","1"
"93","SEAL RING FOR BYONET CATCH","E 8888-02","HEBU",,,,"GERMANY","1",,"43200","1"
"94","RETAINING CLIP FOR CABLE","E 8888-03","HEBU",,,,"GERMANY","1",,"561600","1"
