id,tgl_masuk_barang_gudang,nomor_po,nama_brg,nie_brg,tipe_brg,merk_brg,negara_asal,stok,deskripsi_alat,harga_beli,harga_satuan,status_cek
8,0000-00-00,,EEG 24 CHANNELS + BRAIN MAPPING,,24 CHANNELS,ATES,ITALY,1, ,0,0,1
9,0000-00-00,,EEG 8 CHANNELS,,8 CHANNELS,ATES,ITALY,0, ,0,0,1
10,0000-00-00,,ECG 32 CHANNELS + BRAIN MAPPING,,NEUTRAVEL LIGHT,ATES,ITALY,0,,0,0,1
11,0000-00-00,,"MAGNETIC STIMULATOR STANDARD, 100 HZ",,STM - 9000,ATES,ITALY,0,,0,0,1
12,0000-00-00,,INTERFERENCE FILTER 405NM,,117,BIOLABO,,3,Spare Part - Biolabo,0,0,1
13,0000-00-00,,INTERFERENCE FILTER 505NM,,119,BIOLABO,,0,Spare Part - Biolabo,0,0,1
14,0000-00-00,,INTERFERENCE FILTER 546NM,,120,BIOLABO,,2,Spare Part - Biolabo,0,0,1
15,0000-00-00,,60°C THERMOSTAT (FOR CUVETTE TRAY),,179,BIOLABO,,2,Spare Part - Biolabo,0,0,1
16,0000-00-00,,INTERFERENCE FILTER 450NM,,900,BIOLABO,,2,Spare Part - Biolabo,0,0,1
17,0000-00-00,,90° OPTOCOUPLE,,922,BIOLABO,,2,Spare Part - Biolabo,0,0,1
18,0000-00-00,,FILTER WHEELâ€™S BEARING,,966,BIOLABO,,2,Spare Part - Biolabo,0,0,1
19,0000-00-00,,CUVETTE RACK FOR 2.320 TEST,,054-320OD,BIOLABO,,2,Spare Part - Biolabo,0,21307000,1
20,0000-00-00,,FILTER WHEEL MOTOR ASSEMBLY,,13-0004,BIOLABO,,2,Spare Part - Biolabo,0,0,1
21,0000-00-00,,CUVETTES TRAY OPTICAL SENSOR,,13-0027,BIOLABO,,4,Spare Part - Biolabo,0,0,1
22,0000-00-00,,TRAY WITH 50 CUVETTE,,13-0055,BIOLABO,,2,Spare Part - Biolabo,0,3938000,1
23,0000-00-00,,FILTER LOCKING RING,,M000409,BIOLABO,,15,Spare Part - Biolabo,0,0,1
24,0000-00-00,,"MAINTENANCE KIT 1 (6 MONTHS) KENZA 240 :
13-0055 - TRAY WITH CUVETTES
MA000140 - PROBE CLEANER
19-00",,MKIT 1-240,BIOLABO,,5,Spare Part - Biolabo,0,0,1
